users,scaled_ads,,,
23557,0.021425604,,,
94883,0.017211704,,,
101486,0.043088611,,,
101961,0.040951985,,0.031040418,Mode of scaled_ADS
106907,0.345380766,,,
118043,0.057748234,,,
120851,0.009614814,,,
125845,0.047612453,,,
133058,0.017389756,,,
149058,0.047599264,,,
152583,0.051041605,,,
153982,0.050804202,,,
160754,0.023443528,,,
164522,0.024630542,,,
167852,0.012582349,,,
171470,0.859872989,,,
174997,0.455932103,,,
175032,0.034581676,,,
181157,0.052050567,,,
182191,0.301163496,,,
187212,0.041426791,,,
189676,0.026054959,,,
190866,0.058110933,,,
195192,0.083981245,,,
204943,0.480503294,,,
204997,0.649381186,,,
205044,0.03743051,,,
206011,0.054424595,,,
216796,0.218329131,,,
217114,0.008731148,,,
217136,0.032227432,,,
220725,0.435581406,,,
224996,0.029972105,,,
226367,0.035135616,,,
228195,0.030519451,,,
228872,0.041070687,,,
229009,0.110765234,,,
229108,0.465665618,,,
229330,0.041842246,,,
232647,0.029616001,,,
249521,0.051813164,,,
252835,0.036441332,,,
258451,0.08944151,,,
264470,0.037747047,,,
276512,0.028428987,,,
281952,0.054543296,,,
283325,0.035194967,,,
290123,0.059060544,,,
297546,0.076621758,,,
298253,0.028607039,,,
299476,0.058216445,,,
306165,0.024215087,,,
306819,0.489227847,,,
312488,0.018754822,,,
313724,0.51225592,,,
316527,0.046768354,,,
317688,0.04391952,,,
322867,0.021603656,,,
324191,0.023087424,,,
328590,0.50044513,,,
330764,0.488871743,,,
330893,0.04391952,,,
331039,0.274696522,,,
334787,0.037687697,,,
337227,0.021603656,,,
338086,0.046056146,,,
340166,0.023799632,,,
343928,0.038577957,,,
347778,0.04835104,,,
348817,0.040121075,,,
348863,0.020475993,,,
349132,0.03743051,,,
350648,0.368300534,,,
353271,0.022493917,,,
353694,0.028963143,,,
354050,0.060597068,,,
354260,0.03626328,,,
354311,0.02872574,,,
354950,0.029734702,,,
356046,0.029675352,,,
357737,0.507863968,,,
359072,0.452121124,,,
359080,0.041545492,,,
359653,0.041070687,,,
361459,0.011632738,,,
361759,0.039118708,,,
363535,0.389385036,,,
365825,0.48014719,,,
371201,0.031159119,,,
372970,0.029972105,,,
373489,0.030835988,,,
374331,0.474686925,,,
374340,0.015642208,,,
374341,0.031633925,,,
375160,0.003086237,,,
375729,0.047302511,,,
375751,0.068965517,,,
376159,0.03038756,,,
377069,0.439254555,,,
377411,0.037568995,,,
378565,0.045403288,,,
379543,0.030446911,,,
380434,0.03460146,,,
380436,0.032227432,,,
380757,0.039230815,,,
380874,0.036797436,,,
380949,0.514867351,,,
381259,0.028250935,,,
381465,0.183835328,,,
382181,0.031633925,,,
382384,0.018339367,,,
382533,0.01602469,,,
385689,0.025758205,,,
386255,0.013294558,,,
386469,0.022553267,,,
386914,0.453854828,,,
387282,0.023087424,,,
387783,0.022968722,,,
388328,0.037483266,,,
388767,0.031159119,,,
388947,0.028989521,,,
389434,0.520386967,,,
389662,0.049498487,,,
389759,0.053356282,,,
390811,0.043147961,,,
392453,0.01940768,,,
395202,0.016499496,,,
395981,0.030268859,,,
396552,0.033177043,,,
399137,0.053059529,,,
