users,scaled_ads,,
23557,0.058333333,,
94883,0.047619048,,
101486,0.116666667,,0.10952381
101961,0.110714286,,
106907,0.246428571,,
118043,0.155952381,,
120851,0.026190476,,
125845,0.128968254,,
133058,0.047619048,,
149058,0.129761905,,
152583,0.138095238,,
153982,0.139285714,,
160754,0.063095238,,
164522,0.066666667,,
167852,0.035714286,,
171470,0.491666667,,
174997,0.260714286,,
175032,0.09510582,,
181157,0.142857143,,
182191,0.136904762,,
187212,0.113095238,,
189676,0.071428571,,
190866,0.157539683,,
195192,0.228571429,,
204943,0.308333333,,
204997,0.483333333,,
205044,0.102513228,,
206011,0.146428571,,
216796,0.10952381,,
217114,0.023148148,,
217136,0.086904762,,
220725,0.29510582,,
224996,0.082142857,,
226367,0.096428571,,
228195,0.083465608,,
228872,0.110714286,,
229009,0.132142857,,
229108,0.342857143,,
229330,0.114285714,,
232647,0.079761905,,
249521,0.14047619,,
252835,0.1,,
258451,0.15952381,,
264470,0.101190476,,
276512,0.077380952,,
281952,0.148809524,,
283325,0.096428571,,
290123,0.161772487,,
297546,0.207142857,,
298253,0.077380952,,
299476,0.158597884,,
306165,0.066666667,,
306819,0.352380952,,
312488,0.051190476,,
313724,0.378571429,,
316527,0.126190476,,
317688,0.119047619,,
322867,0.058333333,,
324191,0.063095238,,
328590,0.416666667,,
330764,0.407142857,,
330893,0.119047619,,
331039,0.196428571,,
334787,0.102380952,,
337227,0.05952381,,
338086,0.123809524,,
340166,0.06547619,,
343928,0.105952381,,
347778,0.132142857,,
348817,0.10952381,,
348863,0.057142857,,
349132,0.101455026,,
350648,0.311904762,,
353271,0.060714286,,
353694,0.079761905,,
354050,0.16547619,,
354260,0.098809524,,
354311,0.077380952,,
354950,0.079761905,,
356046,0.080952381,,
357737,0.45952381,,
359072,0.339285714,,
359080,0.110714286,,
359653,0.111904762,,
361459,0.030952381,,
361759,0.107804233,,
363535,0.255952381,,
365825,0.383333333,,
371201,0.085714286,,
372970,0.079761905,,
373489,0.085582011,,
374331,0.363095238,,
374340,0.043253968,,
374341,0.085714286,,
375160,0.00952381,,
375729,0.129761905,,
375751,0.189285714,,
376159,0.082142857,,
377069,0.270238095,,
377411,0.101190476,,
378565,0.122619048,,
379543,0.08452381,,
380434,0.096428571,,
380436,0.088095238,,
380757,0.105952381,,
380874,0.1,,
380949,0.475,,
381259,0.076190476,,
381465,0.252380952,,
382181,0.086904762,,
382384,0.05,,
382533,0.044047619,,
385689,0.070238095,,
386255,0.036904762,,
386469,0.061243386,,
386914,0.310714286,,
387282,0.064285714,,
387783,0.064285714,,
388328,0.103571429,,
388767,0.08452381,,
388947,0.079232804,,
389434,0.489285714,,
389662,0.13452381,,
389759,0.146428571,,
390811,0.117857143,,
392453,0.053571429,,
395202,0.045238095,,
395981,0.080952381,,
396552,0.09047619,,
399137,0.145238095,,
399218,0.104761905,,
399799,0.110714286,,
400275,0.078571429,,
400582,0.10952381,,
400899,0.264285714,,
401245,0.103571429,,
402332,0.123809524,,
402978,0.097619048,,
